Interval AMQTT Tor JumpRouting JumpMqtt
10 47140969.333333336 80800000.0 95421098.93333334 56662594.06666667
20 47140969.333333336 80800000.0 95428695.2 56639957.86666667
30 47140969.333333336 80800000.0 95413294.4 56671825.86666667
40 47140969.333333336 80800000.0 95426196.6 56675973.666666664
50 47140969.333333336 80800000.0 95426754.6 56656108.86666667
60 47140969.333333336 80800000.0 95446886.0 56679842.46666667
