Interval AMQTT Tor JumpRouting JumpMqtt
10 1304.6613408823275 30488.102870510735 60980.5854174027 2863.9652823485985
20 1006.2121702134955 6063.648652549266 9242.355483071202 1286.2543333971544
30 956.8349506489823 4954.393539736075 6222.114686065248 1165.7554191345157
40 936.5839586327686 4523.915328477278 5334.983897965318 1123.236168543918
50 924.4523848120759 4301.467304054338 4913.204586729962 1098.60911255998
60 918.2293813746389 4172.178436968487 4683.009285762197 1086.4235808987364
