X_Label AMQTT Tor JumpRouting JumpMqtt
3 1276.7060380864968 7957.82607300683 10544.375064079699 2181.3197008677766
5 4108.89285726886 15239.708109886578 19757.33204000986 7837.987897744192
7 8827.97240206271 23107.838247518976 43157.00544006219 22113.75625741307
