Interval AMQTT Tor JumpRouting JumpMqtt
10 231068.66666666666 400000.0 495816.13333333336 293448.9
20 231068.66666666666 400000.0 495853.2 293327.2
30 231068.66666666666 400000.0 495770.4 293498.5333333333
40 231068.66666666666 400000.0 495839.76666666666 293520.8333333333
50 231068.66666666666 400000.0 495842.76666666666 293414.0333333333
60 231068.66666666666 400000.0 495951.0 293541.63333333336
