X_Label AMQTT Tor JumpRouting JumpMqtt
3 462.13733333333323 800.0 992.1060000000001 587.3433333333334
5 722.2746666666666 1200.0 1664.1966666666672 1023.78
7 982.4119999999998 1600.0 2672.6293333333333 1678.716666666667
