X_Label AMQTT Tor JumpRouting JumpMqtt
3 23106.866666666665 40000.0 49605.3 29367.166666666668
5 36113.73333333333 60000.0 83209.83333333333 51189.0
7 49120.6 80000.0 133631.46666666667 83935.83333333333
