pf AMQTT Tor JumpRouting JumpMqtt
0.5 4714096.933333334 8080000.0 9546585.8 5670402.866666666
0.6 4714096.933333334 8080000.0 10434060.0 6242340.466666667
0.7 4714096.933333334 8080000.0 11771883.6 7133435.466666667
0.8 4714096.933333334 8080000.0 14061289.4 8605836.266666668
0.9 4714096.933333334 8080000.0 18031174.2 11190554.266666668
