pf AMQTT Tor JumpRouting JumpMqtt
0.5 23106.866666666665 40000.0 49605.3 29367.166666666668
0.6 23106.866666666665 40000.0 54376.666666666664 32442.1
0.7 23106.866666666665 40000.0 61569.26666666667 37232.933333333334
0.8 23106.866666666665 40000.0 73877.9 45149.066666666666
0.9 23106.866666666665 40000.0 95221.36666666667 59045.4
